degree_faculty,n_degrees,mean_top_k_sim,median_top_k_sim,mean_overall_sim
Faculty of Law,1,0.7398926019668579,0.7398926019668579,0.5695748329162598
School of Computing,5,0.7300097584724426,0.729199230670929,0.5348912239074707
NUS Business School,9,0.7207139796680875,0.720166027545929,0.5553708672523499
College of Design and Engineering,14,0.7153703996113369,0.711865246295929,0.5216745095593589
Faculty of Science,10,0.6951025366783142,0.691821277141571,0.5100214123725891
Faculty of Arts and Social Sciences,14,0.6747698060103825,0.6664062440395355,0.5258577423436301
Yong Loo Lin School of Medicine,1,0.671630859375,0.671630859375,0.503879725933075
College of Humanities and Sciences,1,0.621142566204071,0.621142566204071,0.49494507908821106
