degree_faculty,n_degrees,mean_top_k_sim,rank_top_k_sim,median_top_k_sim,mean_breadth,rank_breadth,mean_coverage_pct,rank_coverage
Faculty of Law,1,0.6807909607887268,1,0.6807909607887268,1.0,7,91.17,1
NUS Business School,9,0.6470350490676032,2,0.6450536847114563,3.6666666666666665,5,72.92222222222222,2
School of Computing,5,0.6438779234886169,3,0.6485009789466858,3.8,4,47.532,3
College of Design and Engineering,14,0.6426670636449542,4,0.6432763338088989,3.642857142857143,6,35.558571428571426,4
Faculty of Science,10,0.6284379899501801,5,0.6299999952316284,4.6,2,20.782,6
Faculty of Arts and Social Sciences,15,0.5923040390014649,6,0.5870702862739563,5.466666666666667,1,33.62733333333333,5
Yong Loo Lin School of Medicine,1,0.5923014283180237,7,0.5923014283180237,4.0,3,10.6,7
