ssoc_group,ssoc_major_title,n_jobs,overall_mean_sim,rank_overall_mean_sim,top1_module,top1_title,top1_sim,top2_module,top2_title,top2_sim,top3_module,top3_title,top3_sim
"UNIVERSITY, POLYTECHNIC AND HIGHER EDUCATION TEACHERS",PROFESSIONALS,19,0.49063804745674133,1,UTS2415,The Effective Non-Profit in Singapore,0.6048262715339661,UTC2415,The Effective Non-Profit in Singapore,0.6048262715339661,PC3280,Senior Student Seminar,0.6046977639198303
TEACHING ASSOCIATE PROFESSIONALS NOT ELSEWHERE CLASSIFIED,ASSOCIATE PROFESSIONALS AND TECHNICIANS,34,0.48038583993911743,2,GEN2050X,Teach SG,0.6500459313392639,GEN2050,Teach SG,0.6480497717857361,GEN2050Y,Teach SG,0.6480497717857361
"LIBRARIANS, ARCHIVISTS AND CURATORS",PROFESSIONALS,1,0.47963348031044006,3,AH3202,Time Traveller: The Curatorial in Southeast Asia,0.7099609375,YHU4247,Museums and Libraries as Cultural Institutions,0.67041015625,NHS2055,"""Curating"" Singapore: Museums, Heritage and Spaces",0.6669921875
OTHER TEACHING PROFESSIONALS,PROFESSIONALS,18,0.4787203371524811,4,GEN2050X,Teach SG,0.6097140908241272,GEN2050,Teach SG,0.6073676347732544,GEN2050Y,Teach SG,0.6073676347732544
SECONDARY EDUCATION TEACHERS,PROFESSIONALS,13,0.4782488942146301,5,GEN2050X,Teach SG,0.6297325491905212,GEN2050Y,Teach SG,0.6285682320594788,GEN2050,Teach SG,0.6285682320594788
JUNIOR COLLEGE AND PRE-UNIVERSITY EDUCATION TEACHERS,PROFESSIONALS,2,0.47585976123809814,6,GEN2050X,Teach SG,0.599365234375,PL2711,Psychology Exchange Course,0.59716796875,PL2721,Psychology Exchange Course,0.59716796875
PRIMARY EDUCATION TEACHERS,PROFESSIONALS,10,0.46995270252227783,7,GEN2050X,Teach SG,0.633056640625,GEN2050Y,Teach SG,0.6304687261581421,GEN2050,Teach SG,0.6304687261581421
EXTRACURRICULUM INSTRUCTORS,ASSOCIATE PROFESSIONALS AND TECHNICIANS,39,0.4685809314250946,8,GEN2050X,Teach SG,0.6105143427848816,GEN2050,Teach SG,0.6085110902786255,GEN2050Y,Teach SG,0.6085110902786255
OTHER SERVICES MANAGERS,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",176,0.4674086272716522,9,MKT3720,Retail Marketing,0.6297357678413391,TS2235,Marketing the Arts and Leisure Services,0.6286704540252686,MKT3425,Retail Marketing,0.6275205016136169
LIFE SCIENCE PROFESSIONALS,PROFESSIONALS,24,0.4651103615760803,10,TCN4231,Downstream Processing of Biochemical and Pharmaceutical Products,0.5931904911994934,CN4231E,Downstream Processing of Biochemical and Pharmaceutical Products,0.5931904911994934,PHS1101,The Billion-Dollar Pill - Bench to Bedside Drug Development,0.588531494140625
