ssoc_group,ssoc_major_title,n_jobs,overall_mean_sim,rank_overall_mean_sim,top1_module,top1_title,top1_sim,top2_module,top2_title,top2_sim,top3_module,top3_title,top3_sim
PRESCHOOL EDUCATION TEACHERS,ASSOCIATE PROFESSIONALS AND TECHNICIANS,153,0.4634377360343933,11,GEN2050X,Teach SG,0.6184002161026001,GEN2050Y,Teach SG,0.6159811615943909,GEN2050,Teach SG,0.6159811615943909
LEGAL PROFESSIONALS,PROFESSIONALS,35,0.463016539812088,12,LL4412,Securities and Capital Markets Regulation,0.6599748730659485,LL4475V,Law and Practice of Investment Management,0.6559012532234192,LL4475,Law and Practice of Investment Management,0.6559012532234192
"MATHEMATICIANS, ACTUARIES, STATISTICIANS AND RELATED PROFESSIONALS",PROFESSIONALS,53,0.46263158321380615,13,DSC4213,Analytical Tools for Consulting,0.5972923636436462,DBA4811,Analytics for Consulting,0.5952378511428833,FIN4713,Advanced Portfolio Management: Securities Analysis & Valuation,0.594109296798706
CHILD CARE WORKERS AND TEACHER AIDES,SERVICES AND SALES WORKERS,12,0.4620596468448639,14,GEN2050X,Teach SG,0.6211344599723816,GEN2050,Teach SG,0.6193440556526184,GEN2050Y,Teach SG,0.6193440556526184
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PROFESSIONALS,188,0.4619024395942688,15,SA4101,Software Analysis and Design,0.6185770034790039,IS3108,Full-stack Software Engineering for AI Solutions II,0.60650634765625,CS3216,Software Product Engineering for Digital Markets,0.604688286781311
"SALES, MARKETING, DEVELOPMENT AND CUSTOMER SERVICE MANAGERS","LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",1049,0.461325079202652,16,MKT3720,Retail Marketing,0.6240334510803223,MKT3425,Retail Marketing,0.6233112812042236,MKT3420,Advertising & Promotion Management,0.6160764098167419
"ARCHITECTS, PLANNERS, SURVEYORS AND DESIGNERS",PROFESSIONALS,50,0.45679259300231934,17,LAD3003,Professional Practice,0.6258789300918579,SA4101,Software Analysis and Design,0.6183496117591858,LAD3001,Design 5,0.6179492473602295
SOCIAL SCIENCE RESEARCHERS AND PROFESSIONALS; RELIGIOUS PROFESSIONALS,PROFESSIONALS,41,0.4561846852302551,18,SW3221,Protection of Vulnerable Clients,0.6404106616973877,SW3219,Child-centric Social Work,0.6265303492546082,SW4224HM,Financial Capability and Asset Building,0.6258455514907837
BUSINESS SERVICES AGENTS,ASSOCIATE PROFESSIONALS AND TECHNICIANS,58,0.45494624972343445,19,MKT3720,Retail Marketing,0.5889387726783752,UTC2415,The Effective Non-Profit in Singapore,0.5860974788665771,UTS2415,The Effective Non-Profit in Singapore,0.5860974788665771
ENGINEERING PROFESSIONALS I,PROFESSIONALS,686,0.4544079005718231,20,TIE4230,Quality Engineering II,0.580959677696228,CE4103R,Design Project,0.5790674090385437,DSC3225,Project Management,0.5745212435722351
VOCATIONAL EDUCATION TEACHERS AND TRAINERS,PROFESSIONALS,1,0.45393988490104675,21,HS1503,Understanding AI and Its Impact: from Turing to ChatGPT,0.65087890625,UTC2851,Problem Solving for Computing and AI,0.63134765625,UTC2812,"Empowering AI-Ready Older Adults via Confidence, Opportunities, Design and Engagement (CODE)",0.61962890625
OTHER STATIONARY PLANT AND MACHINE OPERATORS,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,4,0.45373690128326416,22,CN4211E,Petrochemicals & Processing Technology,0.5797119140625,UTS2415,The Effective Non-Profit in Singapore,0.574462890625,UTC2415,The Effective Non-Profit in Singapore,0.574462890625
ENGINEERING PROFESSIONALS II (Cont’d),PROFESSIONALS,195,0.45372679829597473,23,SA4101,Software Analysis and Design,0.5830315947532654,EE3031E,Innovation & Enterprise I,0.581413984298706,IE3102,Systems Engineering Project,0.579216718673706
MARKETING AND PUBLIC RELATIONS PROFESSIONALS,PROFESSIONALS,277,0.4535459578037262,24,MKT3720,Retail Marketing,0.5918744206428528,MKT3425,Retail Marketing,0.5901681184768677,MKT4415J,SIM: Personal Selling & Sales Management,0.5839605927467346
"AUTHORS, JOURNALISTS AND EDITORS",PROFESSIONALS,11,0.45266953110694885,25,GET1002,Bridging East and West: Exploring Chinese Communication,0.5804554224014282,GEK1062,Bridging East and West: Exploring Chinese Communication,0.5804554224014282,GEX1004,Bridging East and West: Exploring Chinese Communication,0.5804554224014282
ADMINISTRATION PROFESSIONALS,PROFESSIONALS,436,0.4524519145488739,26,MNO4314,Consulting to Management,0.5920068621635437,MNO4711,Consulting to Management,0.5817669630050659,BCP4002B,Consulting Practicum,0.5704715251922607
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",34,0.4516397714614868,27,DSC3225,Project Management,0.590827465057373,MNO4314,Consulting to Management,0.579460620880127,SA4104,Digital Product Management,0.5713824033737183
GOVERNMENT ASSOCIATE PROFESSIONALS,ASSOCIATE PROFESSIONALS AND TECHNICIANS,1,0.4511767625808716,28,LL4261V,Employment Law & Migrant Workers Clinic,0.6376953125,LL4134,"Crossing Borders: Law, Migration & Citizenship",0.62744140625,LL4134V,"Crossing Borders: Law, Migration & Citizenship",0.62744140625
PHYSICAL AND ENGINEERING SCIENCE TECHNICIANS I,ASSOCIATE PROFESSIONALS AND TECHNICIANS,121,0.45075684785842896,29,ME2102,Engineering Innovation and Modelling,0.5751993656158447,ID4103,Design Detailing,0.5644713044166565,CE4103R,Design Project,0.5634402632713318
MEDICAL DOCTORS,PROFESSIONALS,26,0.45042967796325684,30,MD3140,Core Clinical Practice,0.6125863790512085,MD3140T,Core Clinical Practice,0.6089993715286255,MD3140E,Core Clinical Practice,0.6089993715286255
LIFE SCIENCE TECHNICIANS AND RELATED ASSOCIATE PROFESSIONALS,ASSOCIATE PROFESSIONALS AND TECHNICIANS,9,0.4502410888671875,31,PHS1101,The Billion-Dollar Pill - Bench to Bedside Drug Development,0.5941298007965088,PHS2120,Drug Product Development and Lifecycle Management,0.5918511152267456,BMI3201,Clinical Data System Design Testing and Governance,0.5868055820465088
PROCESS CONTROL TECHNICIANS,ASSOCIATE PROFESSIONALS AND TECHNICIANS,1,0.44928061962127686,32,TCN4211,Petrochemicals & Processing Technology,0.6376953125,CN4201R,Petroleum Refining,0.63134765625,CN4211R,Petrochemicals and Processing Technology,0.63037109375
OTHER HEALTH PROFESSIONALS,PROFESSIONALS,106,0.44901761412620544,33,PR2151,Applied Patient Care Skills II,0.5957284569740295,PR4192,Direct Patient Care Internship,0.5914928317070007,PR4138,Pharmacy Professional Skills Development IV,0.5890974998474121
"PROFESSIONAL, FINANCIAL, COMMUNITY AND SOCIAL SERVICES MANAGERS","LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",42,0.44828078150749207,34,FIN4713,Advanced Portfolio Management: Securities Analysis & Valuation,0.601568341255188,LL4475V,Law and Practice of Investment Management,0.5857108235359192,LL4475,Law and Practice of Investment Management,0.5857108235359192
PHYSICAL AND EARTH SCIENCE PROFESSIONALS,PROFESSIONALS,3,0.4480487108230591,35,TIE4230,Quality Engineering II,0.5935872197151184,ACC3712,Advanced Assurance and Attestation,0.5734049677848816,FIN4713,Advanced Portfolio Management: Securities Analysis & Valuation,0.56787109375
SPORTS AND FITNESS WORKERS,ASSOCIATE PROFESSIONALS AND TECHNICIANS,30,0.4479738473892212,36,GEH1063,"Understanding Body, Mind and Culture through Sport",0.5936034917831421,VHC1001,Sports for Life,0.573535144329071,UTS2415,The Effective Non-Profit in Singapore,0.5708252191543579
LEGISLATORS AND SENIOR OFFICIALS,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",11,0.44728949666023254,37,RE4801,Real Estate Internship Programme,0.5723543763160706,MNO4314,Consulting to Management,0.5689364075660706,LL4065,Comparative Corporate Governance,0.5645862817764282
MATERIAL-RECORDING AND TRANSPORT CLERKS,CLERICAL SUPPORT WORKERS,20,0.4471015930175781,38,DSC4214,Co-ordination and Flexibility in SCM,0.5937744379043579,DOS3712,Physical Distribution Management,0.5788329839706421,DSC3218,Physical Distribution Management,0.5788329839706421
SALES AND RELATED ASSOCIATE PROFESSIONALS,ASSOCIATE PROFESSIONALS AND TECHNICIANS,743,0.44665175676345825,39,MKT3720,Retail Marketing,0.5962696075439453,MKT3425,Retail Marketing,0.5940148234367371,MKT3420,Advertising & Promotion Management,0.5914209485054016
RETAIL AND WHOLESALE TRADE MANAGERS,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",14,0.44644999504089355,40,MKT3720,Retail Marketing,0.6274762749671936,MKT3425,Retail Marketing,0.6239188313484192,UTS2415,The Effective Non-Profit in Singapore,0.5895647406578064
SECRETARIES AND VERBATIM REPORTERS,CLERICAL SUPPORT WORKERS,21,0.44577595591545105,41,BSN3717,Family Business,0.5872628092765808,BSP3011,Family Business,0.578985333442688,MNO2706,Business Communication for Leaders (ACC),0.5779622197151184
GENERAL OFFICE CLERKS,CLERICAL SUPPORT WORKERS,51,0.4455956220626831,42,PS3245,Public Personnel Administration,0.5697428584098816,MNO4314,Consulting to Management,0.5662291049957275,ACC2727,"Business Processes, Systems and Assurance-Foundation",0.5604846477508545
CLIENT INFORMATION CLERKS,CLERICAL SUPPORT WORKERS,84,0.4449375867843628,43,MKT3720,Retail Marketing,0.5737101435661316,MNO4314,Consulting to Management,0.572515606880188,MKT3425,Retail Marketing,0.569269061088562
ADMINISTRATIVE ASSOCIATE PROFESSIONALS,ASSOCIATE PROFESSIONALS AND TECHNICIANS,225,0.4448356032371521,44,MNO4314,Consulting to Management,0.5688921213150024,FIN4713,Advanced Portfolio Management: Securities Analysis & Valuation,0.5661588311195374,DSC4214,Co-ordination and Flexibility in SCM,0.5637033581733704
FINANCE PROFESSIONALS,PROFESSIONALS,248,0.44480985403060913,45,FIN4713,Advanced Portfolio Management: Securities Analysis & Valuation,0.6149567365646362,LL4475,Law and Practice of Investment Management,0.5918992757797241,LL4475V,Law and Practice of Investment Management,0.5918992757797241
INFORMATION AND COMMUNICATIONS TECHNOLOGY OPERATORS AND TECHNICIANS,ASSOCIATE PROFESSIONALS AND TECHNICIANS,30,0.44372695684432983,46,EX3010,Exchange Technical Essential,0.5937337279319763,IS2101,Business and Technical Communication,0.5833658576011658,CP3107,Computing for Social Service Agencies I,0.5757486820220947
"DATABASE, NETWORK, INFRASTRUCTURE AND CYBERSECURITY PROFESSIONALS",PROFESSIONALS,95,0.4425458610057831,47,EX3010,Exchange Technical Essential,0.5817999839782715,EE4210E,Network Protocols and Applications,0.5745631456375122,TEE4210,Network Protocols and Applications,0.5745631456375122
"MODELS, SALES DEMONSTRATORS AND RELATED SALES WORKERS",SERVICES AND SALES WORKERS,158,0.4423760175704956,48,MKT3718,Advertising & Promotion Management,0.5970412492752075,MKT3420,Advertising & Promotion Management,0.5970412492752075,MKT3720,Retail Marketing,0.5948733687400818
"BUILDING, QUALITY AND SAFETY INSPECTORS",ASSOCIATE PROFESSIONALS AND TECHNICIANS,11,0.44219720363616943,49,PF4208,Safety and Health Management,0.6234907507896423,SPH2301,Health of the Working Population,0.6064897179603577,CN3135E,"Process Safety, Health and Environment",0.5835404992103577
VETERINARY TECHNICIANS AND ASSISTANTS,ASSOCIATE PROFESSIONALS AND TECHNICIANS,9,0.44202131032943726,50,NUR2125,"Pathophysiology, Pharmacology and Nursing Practice II",0.6005859375,NUR3120,"Pathophysiology, Pharmacology and Nursing Practice III",0.5995008945465088,NUR1108B,Clinical Practice: Medical/Surgical I,0.5923393964767456
OTHER CLERICAL SUPPORT WORKERS,CLERICAL SUPPORT WORKERS,8,0.4417804479598999,51,LL4537,Legal Ethics and Professional Conduct,0.583984375,LL4537V,Legal Ethics and Professional Conduct,0.583984375,LL4054V,Domestic and International Sale of Goods,0.5809326171875
NURSING PROFESSIONALS,PROFESSIONALS,166,0.4415908455848694,52,NUR3501,"Professionalism, Ethics and Law in Healthcare",0.5979753732681274,NUR2441A,Cross-cultural Experience for Nursing Students I,0.5917483568191528,NUR2441B,Cross-cultural Experience for Nursing Students II,0.5916056632995605
NURSING ASSOCIATE PROFESSIONALS,ASSOCIATE PROFESSIONALS AND TECHNICIANS,5,0.441419392824173,53,NUR3501,"Professionalism, Ethics and Law in Healthcare",0.6151367425918579,NUR3114,Leadership and Management,0.614453136920929,NUR4102C,Consolidated Clinical Practice,0.602832019329071
"WASTE COLLECTION, RECYCLING AND MATERIAL RECOVERY WORKERS","CLEANERS, LABOURERS AND RELATED WORKERS",1,0.44134724140167236,54,UTC2415,The Effective Non-Profit in Singapore,0.64599609375,UTS2415,The Effective Non-Profit in Singapore,0.64599609375,SSA2215,The Biophysical Environment of Singapore,0.6328125
LEGAL AND SOCIAL ASSOCIATE PROFESSIONALS,ASSOCIATE PROFESSIONALS AND TECHNICIANS,10,0.4402661621570587,55,LL4537,Legal Ethics and Professional Conduct,0.5793212652206421,LL4537V,Legal Ethics and Professional Conduct,0.5793212652206421,BSN3717,Family Business,0.5791015625
MEDICAL AND PHARMACEUTICAL TECHNICIANS,ASSOCIATE PROFESSIONALS AND TECHNICIANS,11,0.44011783599853516,56,PR4138,Pharmacy Professional Skills Development IV,0.5975674986839294,PR4192,Direct Patient Care Internship,0.5930397510528564,BMI3201,Clinical Data System Design Testing and Governance,0.5826526880264282
TRANSPORT OPERATIONS PLANNERS AND EXECUTIVES,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4,0.43979549407958984,57,IPM1103,Digital Construction,0.6258544921875,PF1103,Digital Construction,0.6258544921875,CE3204,Data Management for Civil Engineers,0.610107421875
SHIP AND AIRCRAFT RELATED PROFESSIONALS,PROFESSIONALS,22,0.43970051407814026,58,LL4034V,International Regulation of Shipping,0.6081987023353577,LL4034,International Regulation of Shipping,0.6081987023353577,CN4201R,Petroleum Refining,0.5990545153617859
"TELLERS, MONEY COLLECTORS AND RELATED CLERKS",CLERICAL SUPPORT WORKERS,5,0.4388454556465149,59,FIN3761A,TIF: Transaction Banking,0.6143554449081421,FIN3120B,TIF: Transaction Banking,0.607714831829071,ACC4612K,Sem. in Acctg: Accounting & Business Analysis for Banks,0.584912121295929
"BOOKMAKERS, CROUPIERS AND RELATED GAMING WORKERS",SERVICES AND SALES WORKERS,1,0.43876978754997253,60,TIC4004,Software Quality Control,0.62939453125,YSC4233,Software Verification and Validation,0.61376953125,CS4218,Software Testing,0.609375
PREMISES AND PARKS OFFICERS,ASSOCIATE PROFESSIONALS AND TECHNICIANS,26,0.4384317398071289,61,IPM3102,Infrastructure and Facilities Management,0.6269343495368958,RE2707,Asset and Property Management,0.6216102242469788,PF3306,Facilities Management Law And Contracts,0.6128023862838745
PHYSICAL AND ENGINEERING SCIENCE TECHNICIANS II (Cont’d),ASSOCIATE PROFESSIONALS AND TECHNICIANS,11,0.4380493760108948,62,PC3280,Senior Student Seminar,0.5558860301971436,TIE4230,Quality Engineering II,0.5493608117103577,EX3010,Exchange Technical Essential,0.5481178760528564
VETERINARIANS,PROFESSIONALS,8,0.43748605251312256,63,PR4138,Pharmacy Professional Skills Development IV,0.572265625,PR4192,Direct Patient Care Internship,0.57025146484375,PR4193,Indirect and Specialty Patient Care Internship,0.56561279296875
BUSINESS SERVICES AND ADMINISTRATION MANAGERS,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",124,0.4358742833137512,64,MNO4314,Consulting to Management,0.5747030973434448,MNO4711,Consulting to Management,0.5612950325012207,DOS3703,Service Operations Management,0.5607870817184448
TELECOMMUNICATIONS AND BROADCASTING TECHNICIANS AND AUDIO-VISUAL OPERATORS,ASSOCIATE PROFESSIONALS AND TECHNICIANS,10,0.4357672333717346,65,ID3132,Digital Creation and Production,0.5859619379043579,ID3128,Electronic Media and Production for Design,0.584301769733429,YHU3216,Photojournalism,0.5799316167831421
NUMERICAL CLERKS,CLERICAL SUPPORT WORKERS,96,0.43575745820999146,66,ACC3704,Advanced Corporate Accounting and Reporting,0.5857416987419128,ACC4702,Advanced Corporate Accounting and Reporting,0.5857416987419128,ACC2712,Financial Accounting,0.5803375244140625
PERSONAL SERVICES WORKERS NOT ELSEWHERE CLASSIFIED,SERVICES AND SALES WORKERS,7,0.4355122745037079,67,BSN3717,Family Business,0.5746721625328064,BCP4002B,Consulting Practicum,0.5705217719078064,LL4056BV,Tax Planning & Policy,0.5681849718093872
SHOP SALESPERSONS,SERVICES AND SALES WORKERS,45,0.435202956199646,68,MKT3720,Retail Marketing,0.6047580242156982,MKT3425,Retail Marketing,0.6016601324081421,MKT4722,Personal Selling & Sales Management,0.5768988728523254
OTHER HEALTH ASSOCIATE PROFESSIONALS,ASSOCIATE PROFESSIONALS AND TECHNICIANS,48,0.4349444806575775,69,MNO4314,Consulting to Management,0.5563862919807434,SW3221,Protection of Vulnerable Clients,0.5539042353630066,BCP4002B,Consulting Practicum,0.5538737177848816
"ASSEMBLERS, QUALITY CHECKERS AND TESTERS",PLANT AND MACHINE OPERATORS AND ASSEMBLERS,1,0.4332863986492157,70,SA4101,Software Analysis and Design,0.63330078125,YSC4233,Software Verification and Validation,0.62841796875,CS3217,Software Engineering on Modern Application Platforms,0.6259765625
"MANUFACTURING, CONSTRUCTION, TRANSPORT, DISTRIBUTION AND RELATED PRODUCTION AND OPERATIONS MANAGERS","LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",48,0.43222948908805847,71,DSC4214,Co-ordination and Flexibility in SCM,0.5717213749885559,DSC3225,Project Management,0.5696055293083191,DSC3218,Physical Distribution Management,0.5659129023551941
SHIP AND AIRCRAFT CONTROLLERS AND TECHNICIANS,ASSOCIATE PROFESSIONALS AND TECHNICIANS,15,0.43208909034729004,72,LL4034,International Regulation of Shipping,0.60498046875,LL4034V,International Regulation of Shipping,0.60498046875,LL4008A,Carriage of Goods by Sea,0.6020182371139526
"MANAGING DIRECTORS, CHIEF EXECUTIVES AND GENERAL MANAGERS","LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",29,0.43205443024635315,73,LL4065,Comparative Corporate Governance,0.563628077507019,MKT3720,Retail Marketing,0.5567753314971924,MKT3425,Retail Marketing,0.5549989938735962
"HAIRDRESSERS, BEAUTICIANS AND RELATED WORKERS",SERVICES AND SALES WORKERS,65,0.43194490671157837,74,BCP4002B,Consulting Practicum,0.5693584680557251,MNO4314,Consulting to Management,0.5663874745368958,PR2202,Cosmetics & Perfumes,0.5587477684020996
FINANCIAL AND MATHEMATICAL ASSOCIATE PROFESSIONALS,ASSOCIATE PROFESSIONALS AND TECHNICIANS,58,0.4313964247703552,75,ACC3704,Advanced Corporate Accounting and Reporting,0.603364109992981,ACC4702,Advanced Corporate Accounting and Reporting,0.603364109992981,ACC2712,Financial Accounting,0.5992684364318848
TRADITIONAL AND COMPLEMENTARY MEDICINE PROFESSIONALS,PROFESSIONALS,3,0.42987170815467834,76,PR1301,Complementary Medicine and Health,0.5897623896598816,GEC1044,Chinese Medicine: Theory and Practice,0.5849609375,GEH1070,Chinese Medicine: Theory and Practice,0.5849609375
ASSISTANT ENGINEERS,ASSOCIATE PROFESSIONALS AND TECHNICIANS,10,0.4296657145023346,77,EX3010,Exchange Technical Essential,0.565380871295929,GES1017,Building a Dynamic Singapore - Role of Engineers,0.5535644292831421,PF4309,Infrastructure Operations and Maintenance,0.5511474609375
HEALTHCARE ASSISTANTS AND RELATED PERSONAL CARE WORKERS,SERVICES AND SALES WORKERS,14,0.4290415942668915,78,PR4153,Introduction to Pharmacoeconomics,0.5718819499015808,LL4261V,Employment Law & Migrant Workers Clinic,0.5713936686515808,PR4193,Indirect and Specialty Patient Care Internship,0.5707659125328064
ARTISTIC AND CULTURAL ASSOCIATE PROFESSIONALS,ASSOCIATE PROFESSIONALS AND TECHNICIANS,88,0.4287678003311157,79,FST3112,Food Quality Assurance and Control,0.5598199963569641,MNO4314,Consulting to Management,0.545928955078125,MKT3720,Retail Marketing,0.543792724609375
FOOD PROCESSING AND RELATED TRADES WORKERS,CRAFTSMEN AND RELATED TRADES WORKERS,2,0.4281444549560547,80,FST2106,Post Harvest Food Processing,0.572509765625,FST2204,Seafood Supply Chains in Japan and Singapore,0.5675048828125,MKT3720,Retail Marketing,0.562255859375
TRANSPORT AND STORAGE LABOURERS,"CLEANERS, LABOURERS AND RELATED WORKERS",11,0.4275742471218109,81,LL4008A,Carriage of Goods by Sea,0.5751509070396423,LL4008AV,Carriage of Goods by Sea,0.5751509070396423,LL4034V,International Regulation of Shipping,0.5613458752632141
COOKS,SERVICES AND SALES WORKERS,24,0.42680469155311584,82,FST3112,Food Quality Assurance and Control,0.5874430537223816,UTC1114,Junior Seminar From the Fire to the Frying Pan: Cooking and Eating in Human Culture(s),0.5781046748161316,SN2285,What’s Cooking: Food and Drink in South Asian Cultures,0.5673828125
"PORTERS, ATTENDANTS AND RELATED WORKERS","CLEANERS, LABOURERS AND RELATED WORKERS",7,0.42664968967437744,83,LL4094AV,The Corporate Law Clinic,0.5710100531578064,GEN2061Y,Support Healthy AgeingSG,0.56201171875,GEN2061,Support Healthy AgeingSG,0.56201171875
CREATIVE AND PERFORMING ARTISTS,PROFESSIONALS,11,0.4263821244239807,84,MUA3208,Creative Producing for Performers,0.6060014367103577,MUA1240,Exploration in Musical Production,0.5755948424339294,GEK1065,Exploration in Musical Production,0.5755948424339294
"MACHINERY MECHANICS, FITTERS AND REPAIRERS",CRAFTSMEN AND RELATED TRADES WORKERS,3,0.4263818860054016,85,CN4211R,Petrochemicals and Processing Technology,0.5577799677848816,GES1017,Building a Dynamic Singapore - Role of Engineers,0.5563151240348816,TCN4211,Petrochemicals & Processing Technology,0.552734375
WAITERS AND BARTENDERS,SERVICES AND SALES WORKERS,55,0.42579591274261475,86,DSC3203,Service Operations Management,0.5869851112365723,DOS3703,Service Operations Management,0.5869851112365723,MNO4314,Consulting to Management,0.5665527582168579
"SUPERVISORS AND GENERAL FOREMEN (FOOD PROCESSING, WOODWORKING, GARMENT, LEATHER AND RELATED TRADES)",CRAFTSMEN AND RELATED TRADES WORKERS,88,0.4252506196498871,87,CN4118N,Capstone Research Project,0.5540271997451782,CE2183,Construction Project Management,0.5467418432235718,TCE2183,Construction Project Management,0.5467418432235718
CASHIERS AND TICKET CLERKS,SERVICES AND SALES WORKERS,1,0.42440059781074524,88,FST2204,Seafood Supply Chains in Japan and Singapore,0.63134765625,BSN3717,Family Business,0.5966796875,LL4065,Comparative Corporate Governance,0.5947265625
HEAVY TRUCK AND BUS DRIVERS,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,73,0.42294707894325256,89,LL4008A,Carriage of Goods by Sea,0.5899909138679504,LL4008AV,Carriage of Goods by Sea,0.5899708271026611,LL4054V,Domestic and International Sale of Goods,0.5470990538597107
CAR AND LIGHT GOODS VEHICLE DRIVERS,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,17,0.4227864444255829,90,LL4008AV,Carriage of Goods by Sea,0.5754538178443909,LL4008A,Carriage of Goods by Sea,0.5753676295280457,LL4054V,Domestic and International Sale of Goods,0.5584214329719543
OTHER CRAFT AND RELATED WORKERS,CRAFTSMEN AND RELATED TRADES WORKERS,3,0.4219692647457123,91,NST2045,Food Production and Security in Urban Singapore,0.572509765625,LL4065,Comparative Corporate Governance,0.5594075322151184,FST2204,Seafood Supply Chains in Japan and Singapore,0.55810546875
SUPERVISORS AND GENERAL FOREMEN (ELECTRICAL AND ELECTRONIC TRADES),CRAFTSMEN AND RELATED TRADES WORKERS,3,0.4216068983078003,92,IPM2106,Mechanical and Electrical Systems,0.5745442509651184,AR1326,Architectural Construction,0.5740559697151184,PF4309,Infrastructure Operations and Maintenance,0.5693359375
SUPERVISORS AND GENERAL FOREMEN (BUILDING AND RELATED TRADES),CRAFTSMEN AND RELATED TRADES WORKERS,35,0.4210827052593231,93,TCE2183,Construction Project Management,0.6097586750984192,CE2183,Construction Project Management,0.6097586750984192,PF4208,Safety and Health Management,0.578857421875
"GARMENT, LEATHER AND RELATED TRADES WORKERS",CRAFTSMEN AND RELATED TRADES WORKERS,2,0.4205918610095978,94,ID2114,The Appreciation of Wood Craft,0.5625,UTS2405,Work and Inequality,0.526123046875,UTC2407,Work and Inequality,0.526123046875
HOTEL AND FOOD AND BEVERAGES SERVICES MANAGERS,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",38,0.42040789127349854,95,DSC3203,Service Operations Management,0.6026740074157715,DOS3703,Service Operations Management,0.6026740074157715,MKT3720,Retail Marketing,0.5641704201698303
HANDICRAFT AND PRECISION WORKERS,CRAFTSMEN AND RELATED TRADES WORKERS,7,0.4198024570941925,96,RE4801,Real Estate Internship Programme,0.5540596842765808,MKT3720,Retail Marketing,0.5413643717765808,MKT3425,Retail Marketing,0.54052734375
CLEANING SUPERVISORS,"CLEANERS, LABOURERS AND RELATED WORKERS",1,0.41891250014305115,97,DOS3703,Service Operations Management,0.662109375,DSC3203,Service Operations Management,0.662109375,PF4309,Infrastructure Operations and Maintenance,0.62548828125
