module_code,module_title,module_faculty,module_department,top_k_mean_sim,rank_top_k_sim,top_k_max_sim,top_k_min_sim,breadth_n_ssoc_groups,rank_breadth,coverage_n_jobs,coverage_pct,rank_coverage
CN4221R,Control of Industrial Processes,College of Design and Engineering,Chemical and Biomolecular Engineering,0.673388659954071,298,0.685546875,0.66455078125,2,9,2487,35.02,741
TCE2112,Soil Mechanics,Cont and Lifelong Education,SCALE Dean's Office,0.673291027545929,299,0.71435546875,0.6484375,1,10,1426,20.08,1364
EC2880C,Introduction to Foreign Exchange,Arts and Social Science,Economics,0.6731933355331421,300,0.72900390625,0.6484375,2,9,2547,35.87,717
TIC4004,Software Quality Control,Cont and Lifelong Education,SCALE Dean's Office,0.673095703125,301,0.70556640625,0.66064453125,2,9,1038,14.62,1663
PC3243,Photonics,Science,Physics,0.6729491949081421,302,0.70849609375,0.62890625,3,8,682,9.6,1985
ME3261,Computer-Aided Design And Manufacturing,College of Design and Engineering,Mechanical Engineering,0.672900378704071,303,0.71484375,0.65966796875,1,10,1351,19.03,1419
NRM3302R,NUSC Undergraduate Research Opportunity (S&T UROP),NUS College,NUS College Dean's Office,0.672802746295929,304,0.708984375,0.6630859375,4,7,3330,46.89,396
ACC2727,"Business Processes, Systems and Assurance-Foundation",NUS Business School,Accounting,0.6727050542831421,305,0.693359375,0.6484375,4,7,5159,72.65,54
TIE3100,Systems Design Project,Cont and Lifelong Education,SCALE Dean's Office,0.672656238079071,306,0.69384765625,0.6650390625,3,8,3661,51.56,300
GES1017,Building a Dynamic Singapore - Role of Engineers,College of Design and Engineering,Industrial Systems Engineering and Management,0.672656238079071,306,0.69921875,0.6630859375,3,8,4485,63.16,142
PHS1101,The Billion-Dollar Pill - Bench to Bedside Drug Development,Science,PharmacyandPharmaceuticalScience,0.6724609136581421,307,0.69189453125,0.66259765625,7,4,5133,72.29,57
MNO3713,Management of Employee Relations,NUS Business School,Management and Organisation,0.67236328125,308,0.6962890625,0.66455078125,4,7,5467,76.99,36
EE4407E,Analog Electronics,Cont and Lifelong Education,SCALE Dean's Office,0.67236328125,308,0.70947265625,0.6376953125,3,8,731,10.29,1939
TEE4407,Analog Electronics,Cont and Lifelong Education,SCALE Dean's Office,0.67236328125,308,0.70947265625,0.6376953125,3,8,731,10.29,1939
MNO3323,Management of Employee Relations,NUS Business School,Management and Organisation,0.67236328125,308,0.6962890625,0.66455078125,4,7,5467,76.99,36
YLC2202,Intermediate Chinese 2,Yale-NUS College,Yale-NUS College,0.672314465045929,309,0.70361328125,0.65771484375,3,8,1804,25.4,1104
LL4056BV,Tax Planning & Policy,Law,FoL Dean's Office,0.6722656488418579,310,0.69140625,0.65673828125,3,8,4300,60.55,173
LL4056B,Tax Planning & Policy,Law,FoL Dean's Office,0.6722656488418579,310,0.69140625,0.65673828125,3,8,4300,60.55,173
LL4056A,Tax Planning & Policy,Law,FoL Dean's Office,0.6722656488418579,310,0.69140625,0.65673828125,3,8,4300,60.55,173
LL4056AV,Tax Planning & Policy,Law,FoL Dean's Office,0.6722656488418579,310,0.69140625,0.65673828125,3,8,4300,60.55,173
LL4405A,Law of Intellectual Property (A),Law,FoL Dean's Office,0.6722167730331421,311,0.68603515625,0.6591796875,1,10,3307,46.57,409
FIN4112M,SIF: Applied Investment Valuation,NUS Business School,Finance,0.672070324420929,312,0.68798828125,0.6611328125,3,8,3088,43.49,478
NST2045,Food Production and Security in Urban Singapore,NUS College,NUS College Dean's Office,0.672070324420929,312,0.71044921875,0.6484375,3,8,4785,67.38,99
LL4008A,Carriage of Goods by Sea,Law,FoL Dean's Office,0.6720215082168579,313,0.71044921875,0.65771484375,6,5,2904,40.9,563
EE4307,Control Systems Design And Simulation,College of Design and Engineering,Electrical and Computer Engineering,0.6719726324081421,314,0.68212890625,0.6669921875,3,8,1686,23.74,1184
RE3702,Property Tax and Statutory Valuation,NUS Business School,Real Estate,0.6719726324081421,314,0.68408203125,0.6640625,1,10,2297,32.35,840
LL4008AV,Carriage of Goods by Sea,Law,FoL Dean's Office,0.671923816204071,315,0.71044921875,0.6572265625,6,5,2878,40.53,571
LL4434,International Commodity Trading Law Clinic,Law,FoL Dean's Office,0.671875,316,0.68115234375,0.669921875,2,9,1127,15.87,1591
LL4434V,International Commodity Trading Law Clinic,Law,FoL Dean's Office,0.671875,316,0.68115234375,0.669921875,2,9,1127,15.87,1591
DBA4812,Supply Chain Analytics,NUS Business School,Analytics and Operations,0.671826183795929,317,0.736328125,0.64306640625,5,6,1514,21.32,1304
